Node_ID,Routing_Update_Frequency,Routing_Table_Consistency,Route_Stability,Route_Convergence_Time,Route_Error_Rate,Route_Preference,Neighbor_Trustworthiness,Packet_Inspection,Historical_Behavior,Malicious_Node
1,High,0.7965429868602328,0.1834347898661638,0.7796910002727693,0.596850157946487,Neutral,High,Full,Bad,0
2,High,0.020584494295802447,0.9699098521619943,0.49867035038227736,0.21233911067827616,Preferred,Low,Partial,Average,0
3,High,0.3998609717152555,0.04666566321361543,0.9737555188414592,0.23277134043030423,Neutral,High,Partial,Bad,0
4,Low,0.046450412719997725,0.6075448519014384,0.17052412368729153,0.49516754362273674,Preferred,Medium,Partial,Average,0
5,High,0.6832635188254582,0.6099966577826209,0.8331949117361643,0.17336465350777208,Preferred,Medium,Partial,Average,1
6,Medium,0.03131329245555858,0.8422847745949985,0.44975413336976566,0.49516754362273674,Neutral,High,Full,Average,0
7,Low,0.49580301660687576,0.2713490317738959,0.8287375091519293,0.3567533266935893,Preferred,Low,None,Bad,0
8,Low,0.1987156815341724,0.005522117123602399,0.8154614284548342,0.7068573438476171,Not Preferred,High,None,Bad,0
9,Low,0.9149596755437808,0.8500385777897993,0.4494506741382034,0.09541011649041131,Not Preferred,High,Partial,Good,1
10,High,0.5612434258477011,0.38292687475378984,0.49867035038227736,0.8489138242660839,Preferred,Medium,Full,Bad,0
11,High,0.11089082081183133,0.4393365018657701,0.2017192023353962,0.8957635956735194,Preferred,Low,Partial,Good,0
12,High,0.2030612247347694,0.942853570557981,0.598865466488536,0.6947849330397046,Neutral,Medium,None,Average,1
13,Medium,0.49580301660687576,0.32434502100527396,0.12208795470067335,0.3562978380769749,Neutral,Low,None,Good,1
14,Low,0.30478125815802903,0.16465585314294173,0.534089419375442,0.4848299713589832,Preferred,High,Partial,Bad,0
15,Low,0.4038361710580408,0.06489224710898156,0.2539154139343447,0.2468760628386012,Not Preferred,Medium,Full,Good,0
